"","support","confidence","lift","count","lhs","rhs"
"442",0.127410468319559,0.706106870229008,1.57976452322422,185,"{Higher.Education.Required.To.Work.In.CS=Yes,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"449",0.140495867768595,0.684563758389262,1.5315663747014,204,"{Family.Approves.CS.Major=Yes,
Has.Used.Games=Yes} ","{Would.Enroll.In.CS=Yes}"
"448",0.128787878787879,0.68,1.52135593220339,187,"{Family.Approves.CS.Major=Yes,
Uses.Computer.At.Relatives.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"437",0.103305785123967,0.678733031674208,1.51852135899992,150,"{Family.Approves.CS.Major=Yes,
Uses.Computer.At.Lan.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"444",0.130165289256198,0.675,1.51016949152542,189,"{Family.Approves.CS.Major=Yes,
Uses.Computer.At.School=No} ","{Would.Enroll.In.CS=Yes}"
"458",0.152892561983471,0.666666666666667,1.49152542372881,222,"{Family.Approves.CS.Major=Yes,
Has.Used.Text.Editor=Yes} ","{Would.Enroll.In.CS=Yes}"
"453",0.15633608815427,0.66374269005848,1.48498364555456,227,"{Family.Approves.CS.Major=Yes,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"457",0.167355371900826,0.660326086956522,1.47733971997052,243,"{Family.Approves.CS.Major=Yes,
CS.Fosters.Creativity=Yes} ","{Would.Enroll.In.CS=Yes}"
"441",0.111570247933884,0.658536585365854,1.4733360892931,162,"{Family.Approves.CS.Major=Yes,
CS.Has.Low.Employability=No} ","{Would.Enroll.In.CS=Yes}"
"443",0.116391184573003,0.657587548638132,1.47121282068192,169,"{Family.Approves.CS.Major=Yes,
CS.Work.Has.Long.Hours=No} ","{Would.Enroll.In.CS=Yes}"
"459",0.176308539944904,0.656410256410256,1.46857887874837,256,"{Family.Approves.CS.Major=Yes,
Uses.Computer.At.Work=No} ","{Would.Enroll.In.CS=Yes}"
"447",0.117079889807163,0.656370656370656,1.4684902820496,170,"{Family.Approves.CS.Major=Yes,
Uses.Computer.At.Friends.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"43",0.202479338842975,0.654788418708241,1.46495036049979,294,"{Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"466",0.202479338842975,0.654788418708241,1.46495036049979,294,"{Year=2011,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"460",0.165289256198347,0.653950953678474,1.46307670992472,240,"{Family.Approves.CS.Major=Yes,
Has.Used.Email=Yes} ","{Would.Enroll.In.CS=Yes}"
"461",0.170798898071625,0.650918635170604,1.45629253970372,248,"{Family.Approves.CS.Major=Yes,
Has.Used.For.Creating.Web.Pages=No} ","{Would.Enroll.In.CS=Yes}"
"446",0.126721763085399,0.65017667844523,1.45463256872492,184,"{Family.Approves.CS.Major=Yes,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Yes}"
"438",0.112258953168044,0.649402390438247,1.45290026335337,163,"{Family.Approves.CS.Major=Yes,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"462",0.161157024793388,0.64819944598338,1.45020892999671,234,"{Family.Approves.CS.Major=Yes,
Has.Used.Internet=Yes} ","{Would.Enroll.In.CS=Yes}"
"464",0.168732782369146,0.648148148148148,1.45009416195857,245,"{Family.Approves.CS.Major=Yes,
Has.Used.Social.Network=Yes} ","{Would.Enroll.In.CS=Yes}"
"627",0.126721763085399,0.522727272727273,1.43478260869565,184,"{Family.Approves.CS.Major=Maybe,
CS.Work.Has.Long.Hours=No} ","{Would.Enroll.In.CS=Maybe}"
"463",0.164600550964187,0.640750670241287,1.43354387240423,239,"{Family.Approves.CS.Major=Yes,
Uses.Computer.At.Home=Yes} ","{Would.Enroll.In.CS=Yes}"
"454",0.15702479338843,0.640449438202247,1.43286992953723,228,"{Family.Approves.CS.Major=Yes,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=Yes}"
"465",0.181129476584022,0.638349514563107,1.42817179529373,263,"{Family.Approves.CS.Major=Yes,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=Yes}"
"635",0.159090909090909,0.519101123595506,1.424829549075,231,"{Family.Approves.CS.Major=Maybe,
Has.Used.Image.Editor=Yes} ","{Would.Enroll.In.CS=Maybe}"
"440",0.104683195592287,0.635983263598326,1.42287781008439,152,"{CS.Uses.Little.Math=No,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"621",0.100550964187328,0.517730496453901,1.42106744962394,146,"{Family.Approves.CS.Major=Maybe,
Uses.Computer.At.School=Yes} ","{Would.Enroll.In.CS=Maybe}"
"439",0.103994490358127,0.634453781512605,1.4194559179604,151,"{CS.Requires.Knowledge.In.Computers=Yes,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"452",0.131542699724518,0.632450331125828,1.41497362217982,191,"{CS.Only.Teaches.To.Use.Software=No,
Family.Approves.CS.Major=Yes} ","{Would.Enroll.In.CS=Yes}"
"622",0.103305785123967,0.515463917525773,1.4148461403543,150,"{Most.CS.Students.Are.Male=Yes,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"584",0.12534435261708,0.631944444444444,1.4138418079096,182,"{Educational.Stage=Middle School,
Uses.Computer.At.School=No} ","{Would.Enroll.In.CS=Yes}"
"631",0.149449035812672,0.513002364066194,1.40808966469587,217,"{Family.Approves.CS.Major=Maybe,
Uses.Computer.At.Friends.House=Yes} ","{Would.Enroll.In.CS=Maybe}"
"451",0.122589531680441,0.628975265017668,1.40719889800563,178,"{Family.Approves.CS.Major=Yes,
Has.Used.Image.Editor=Yes} ","{Would.Enroll.In.CS=Yes}"
"450",0.137052341597796,0.627760252365931,1.4044805646153,199,"{Family.Approves.CS.Major=Yes,
Has.Used.Other.Softwares=No} ","{Would.Enroll.In.CS=Yes}"
"362",0.108815426997245,0.624505928853755,1.39719970523213,158,"{Most.CS.Students.Are.Male=No,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"632",0.150137741046832,0.506976744186047,1.39155053413637,218,"{Family.Approves.CS.Major=Maybe,
Uses.Computer.At.Relatives.House=Yes} ","{Would.Enroll.In.CS=Maybe}"
"634",0.143939393939394,0.506053268765133,1.38901577740449,209,"{Family.Approves.CS.Major=Maybe,
Has.Used.Other.Softwares=No} ","{Would.Enroll.In.CS=Maybe}"
"455",0.140495867768595,0.620060790273556,1.38725464942558,204,"{Family.Approves.CS.Major=Yes,
Has.Used.For.Development=No} ","{Would.Enroll.In.CS=Yes}"
"445",0.119834710743802,0.619217081850534,1.38536703058086,174,"{Family.Approves.CS.Major=Yes,
Has.Used.Spreadsheet=No} ","{Would.Enroll.In.CS=Yes}"
"624",0.115013774104683,0.498507462686567,1.36830403746861,167,"{CS.Uses.Little.Math=No,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"456",0.147382920110193,0.611428571428571,1.36794188861985,214,"{Family.Approves.CS.Major=Yes,
Has.Used.Database=No} ","{Would.Enroll.In.CS=Yes}"
"582",0.107438016528926,0.607003891050584,1.35804260370639,156,"{Educational.Stage=Middle School,
Field.Of.Interest=Biology-Health Sciences} ","{Would.Enroll.In.CS=Yes}"
"630",0.128787878787879,0.492105263157895,1.35073127052035,187,"{Family.Approves.CS.Major=Maybe,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Maybe}"
"647",0.1866391184573,0.49005424954792,1.34510164526197,271,"{Family.Approves.CS.Major=Maybe,
Uses.Computer.At.Home=Yes} ","{Would.Enroll.In.CS=Maybe}"
"633",0.143250688705234,0.488262910798122,1.3401847759525,208,"{Family.Approves.CS.Major=Maybe,
Has.Used.Games=Yes} ","{Would.Enroll.In.CS=Maybe}"
"581",0.107438016528926,0.597701149425287,1.33722969023963,156,"{Educational.Stage=Middle School,
Uses.Computer.At.Lan.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"640",0.168732782369146,0.487077534791252,1.33693115409622,245,"{Family.Approves.CS.Major=Maybe,
Has.Used.Database=No} ","{Would.Enroll.In.CS=Maybe}"
"628",0.122589531680441,0.486338797814208,1.33490346772444,178,"{Family.Approves.CS.Major=Maybe,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=Maybe}"
"643",0.168044077134986,0.48605577689243,1.33412663147034,244,"{Family.Approves.CS.Major=Maybe,
Uses.Computer.At.Work=No} ","{Would.Enroll.In.CS=Maybe}"
"623",0.106060606060606,0.485804416403785,1.33343669682098,154,"{Family.Approves.CS.Major=Maybe,
CS.Provides.Good.Wages=Maybe} ","{Would.Enroll.In.CS=Maybe}"
