"","support","confidence","lift","count","lhs","rhs"
"1225",0.143939393939394,0.595441595441595,1.33217441692018,209,"{Higher.Education.Required.To.Work.In.CS=Yes,
Uses.Computer.At.Lan.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"637",0.145316804407713,0.485057471264368,1.33138648067271,211,"{Family.Approves.CS.Major=Maybe,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Maybe}"
"649",0.190082644628099,0.484210526315789,1.32906178489703,276,"{Family.Approves.CS.Major=Maybe,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=Maybe}"
"57",0.200413223140496,0.483388704318937,1.32680604663723,291,"{Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"650",0.200413223140496,0.483388704318937,1.32680604663723,291,"{Year=2011,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"648",0.18801652892562,0.483185840707965,1.32624922629105,273,"{Family.Approves.CS.Major=Maybe,
Has.Used.Social.Network=Yes} ","{Would.Enroll.In.CS=Maybe}"
"644",0.181129476584022,0.48256880733945,1.32455559216802,263,"{Family.Approves.CS.Major=Maybe,
Has.Used.Email=Yes} ","{Would.Enroll.In.CS=Maybe}"
"641",0.171487603305785,0.482558139534884,1.32452631116191,249,"{Family.Approves.CS.Major=Maybe,
CS.Fosters.Creativity=Yes} ","{Would.Enroll.In.CS=Maybe}"
"642",0.169421487603306,0.482352941176471,1.32396308239742,246,"{Family.Approves.CS.Major=Maybe,
Has.Used.Text.Editor=Yes} ","{Would.Enroll.In.CS=Maybe}"
"636",0.147382920110193,0.481981981981982,1.32294487303939,214,"{CS.Only.Teaches.To.Use.Software=No,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"639",0.162534435261708,0.480651731160896,1.31929359857395,236,"{Family.Approves.CS.Major=Maybe,
Has.Used.For.Development=No} ","{Would.Enroll.In.CS=Maybe}"
"148",0.119146005509642,0.248563218390805,1.31720362446514,173,"{Uses.Computer.At.Lan.House=No,
Has.Used.Text.Editor=Yes} ","{Would.Enroll.In.CS=No}"
"638",0.149449035812672,0.479028697571744,1.31483869352396,217,"{Family.Approves.CS.Major=Maybe,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=Maybe}"
"143",0.101928374655647,0.247491638795987,1.31152503478749,148,"{CS.Only.Teaches.To.Use.Software=No,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"629",0.120523415977961,0.476839237057221,1.3088290589926,175,"{Family.Approves.CS.Major=Maybe,
Has.Used.Spreadsheet=No} ","{Would.Enroll.In.CS=Maybe}"
"646",0.183195592286501,0.476702508960573,1.30845376750615,266,"{Family.Approves.CS.Major=Maybe,
Has.Used.Internet=Yes} ","{Would.Enroll.In.CS=Maybe}"
"645",0.173553719008264,0.476370510396975,1.30754249734671,252,"{Family.Approves.CS.Major=Maybe,
Has.Used.For.Creating.Web.Pages=No} ","{Would.Enroll.In.CS=Maybe}"
"145",0.115013774104683,0.246312684365782,1.30527743685808,167,"{Uses.Computer.At.Lan.House=No,
Has.Used.For.Development=No} ","{Would.Enroll.In.CS=No}"
"487",0.110192837465565,0.469208211143695,1.28788340752485,160,"{CS.Has.Low.Employability=Maybe,
Has.Used.Image.Editor=Yes} ","{Would.Enroll.In.CS=Maybe}"
"150",0.12534435261708,0.242666666666667,1.28595620437956,182,"{Uses.Computer.At.Lan.House=No,
Has.Used.Email=Yes} ","{Would.Enroll.In.CS=No}"
"152",0.12396694214876,0.242587601078167,1.28553721447262,180,"{Uses.Computer.At.Lan.House=No,
Has.Used.Internet=Yes} ","{Would.Enroll.In.CS=No}"
"1227",0.130165289256198,0.574468085106383,1.28525063108547,189,"{Uses.Computer.At.School=No,
Uses.Computer.At.Lan.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"583",0.128099173553719,0.574074074074074,1.28436911487759,186,"{Educational.Stage=Middle School,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"154",0.12603305785124,0.242063492063492,1.28275981925617,183,"{Uses.Computer.At.Lan.House=No,
Has.Used.Social.Network=Yes} ","{Would.Enroll.In.CS=No}"
"485",0.101239669421488,0.466666666666667,1.28090737240076,147,"{CS.Has.Low.Employability=Maybe,
Has.Used.Games=Yes} ","{Would.Enroll.In.CS=Maybe}"
"142",0.100550964187328,0.241322314049587,1.27883211678832,146,"{Uses.Computer.At.Lan.House=No,
Has.Used.Image.Editor=Yes} ","{Would.Enroll.In.CS=No}"
"375",0.141873278236915,0.570637119113573,1.27667965632189,206,"{Most.CS.Students.Are.Male=No,
Has.Used.For.Creating.Web.Pages=No} ","{Would.Enroll.In.CS=Yes}"
"594",0.15771349862259,0.569651741293532,1.27447508221604,229,"{Educational.Stage=Middle School,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=Yes}"
"625",0.108815426997245,0.461988304093567,1.26806619573508,158,"{Family.Approves.CS.Major=Maybe,
CS.Has.Low.Employability=No} ","{Would.Enroll.In.CS=Maybe}"
"146",0.117768595041322,0.239160839160839,1.26737787759686,171,"{Uses.Computer.At.Lan.House=No,
Has.Used.Database=No} ","{Would.Enroll.In.CS=No}"
"367",0.120523415977961,0.566343042071197,1.26707256870166,175,"{Most.CS.Students.Are.Male=No,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"5",0.104683195592287,0.565055762081784,1.26419255245416,152,"{Has.Used.Database=Yes} ","{Would.Enroll.In.CS=Yes}"
"131",0.104683195592287,0.565055762081784,1.26419255245416,152,"{Year=2011,
Has.Used.Database=Yes} ","{Would.Enroll.In.CS=Yes}"
"593",0.134986225895317,0.564841498559078,1.26371318321692,196,"{Educational.Stage=Middle School,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"373",0.141184573002755,0.564738292011019,1.26348228043143,205,"{Most.CS.Students.Are.Male=No,
Uses.Computer.At.Work=No} ","{Would.Enroll.In.CS=Yes}"
"147",0.112947658402204,0.238372093023256,1.26319809879477,164,"{CS.Fosters.Creativity=Yes,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"342",0.103305785123967,0.460122699386503,1.2629454811138,150,"{CS.Uses.Little.Math=Maybe,
Uses.Computer.At.Home=Yes} ","{Would.Enroll.In.CS=Maybe}"
"151",0.122589531680441,0.237967914438503,1.26105624731644,178,"{Uses.Computer.At.Lan.House=No,
Has.Used.For.Creating.Web.Pages=No} ","{Would.Enroll.In.CS=No}"
"4",0.101239669421488,0.563218390804598,1.26008182349503,147,"{CS.Uses.Little.Math=Yes} ","{Would.Enroll.In.CS=Yes}"
"130",0.101239669421488,0.563218390804598,1.26008182349503,147,"{Year=2011,
CS.Uses.Little.Math=Yes} ","{Would.Enroll.In.CS=Yes}"
"586",0.104683195592287,0.562962962962963,1.25951035781544,152,"{Educational.Stage=Middle School,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Yes}"
"1222",0.115013774104683,0.562289562289562,1.25800376647834,167,"{CS.Provides.Good.Wages=Yes,
Uses.Computer.At.Lan.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"155",0.132231404958678,0.237330037082818,1.25767596293523,192,"{Uses.Computer.At.Lan.House=No,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=No}"
"153",0.132231404958678,0.237037037037037,1.25612327656123,192,"{Uses.Computer.At.Home=Yes,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"391",0.108815426997245,0.560283687943262,1.25351604760188,158,"{Uses.Computer.At.School=No,
Has.Used.Image.Editor=No} ","{Would.Enroll.In.CS=Yes}"
"486",0.106749311294766,0.455882352941176,1.25130657177805,155,"{CS.Has.Low.Employability=Maybe,
Has.Used.Other.Softwares=No} ","{Would.Enroll.In.CS=Maybe}"
"368",0.127410468319559,0.558912386706949,1.25044805161555,185,"{Most.CS.Students.Are.Male=No,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=Yes}"
"37",0.159779614325069,0.557692307692308,1.2477183833116,232,"{Most.CS.Students.Are.Male=No} ","{Would.Enroll.In.CS=Yes}"
"380",0.159779614325069,0.557692307692308,1.2477183833116,232,"{Year=2011,
Most.CS.Students.Are.Male=No} ","{Would.Enroll.In.CS=Yes}"
"484",0.106749311294766,0.453216374269006,1.24398898948695,155,"{CS.Has.Low.Employability=Maybe,
Uses.Computer.At.Relatives.House=Yes} ","{Would.Enroll.In.CS=Maybe}"
"1352",0.152203856749311,0.555276381909548,1.24231326122136,221,"{Higher.Education.Required.To.Work.In.CS=Yes,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"483",0.101928374655647,0.452599388379205,1.24229548568356,148,"{CS.Has.Low.Employability=Maybe,
Uses.Computer.At.Friends.House=Yes} ","{Would.Enroll.In.CS=Maybe}"
"363",0.100550964187328,0.553030303030303,1.23728813559322,146,"{Most.CS.Students.Are.Male=No,
Has.Used.Spreadsheet=No} ","{Would.Enroll.In.CS=Yes}"
"1460",0.173553719008264,0.552631578947368,1.2363960749331,252,"{Higher.Education.Required.To.Work.In.CS=Yes,
Uses.Computer.At.School=No} ","{Would.Enroll.In.CS=Yes}"
"490",0.121212121212121,0.450127877237852,1.23551167816514,176,"{CS.Has.Low.Employability=Maybe,
Has.Used.Database=No} ","{Would.Enroll.In.CS=Maybe}"
"371",0.12534435261708,0.551515151515152,1.23389830508475,182,"{Most.CS.Students.Are.Male=No,
CS.Fosters.Creativity=Yes} ","{Would.Enroll.In.CS=Yes}"
"9",0.134986225895317,0.232502965599051,1.2320960074811,196,"{Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"156",0.134986225895317,0.232502965599051,1.2320960074811,196,"{Year=2011,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"1224",0.12396694214876,0.55045871559633,1.23153475353755,180,"{CS.Has.Low.Employability=No,
Uses.Computer.At.Lan.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"597",0.154269972451791,0.55036855036855,1.2313330279432,224,"{Educational.Stage=Middle School,
CS.Fosters.Creativity=Yes} ","{Would.Enroll.In.CS=Yes}"
"1181",0.112258953168044,0.548821548821549,1.22787193973635,163,"{Higher.Education.Required.To.Work.In.CS=Yes,
Has.Used.Spreadsheet=Yes} ","{Would.Enroll.In.CS=Yes}"
"601",0.174931129476584,0.548596112311015,1.227367573306,254,"{Educational.Stage=Middle School,
Has.Used.For.Creating.Web.Pages=No} ","{Would.Enroll.In.CS=Yes}"
"376",0.132231404958678,0.548571428571429,1.22731234866828,192,"{Most.CS.Students.Are.Male=No,
Has.Used.Internet=Yes} ","{Would.Enroll.In.CS=Yes}"
"1221",0.106749311294766,0.547703180212014,1.22536982691501,155,"{Field.Of.Interest=Biology-Health Sciences,
Uses.Computer.At.Lan.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"374",0.129476584022039,0.546511627906977,1.22270398108002,188,"{Most.CS.Students.Are.Male=No,
Has.Used.Email=Yes} ","{Would.Enroll.In.CS=Yes}"
"379",0.146694214876033,0.546153846153846,1.2219035202086,213,"{Most.CS.Students.Are.Male=No,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=Yes}"
"692",0.103305785123967,0.443786982248521,1.21810718000917,150,"{CS.Work.Has.Long.Hours=No,
Uses.Computer.At.School=Yes} ","{Would.Enroll.In.CS=Maybe}"
"369",0.122589531680441,0.54434250764526,1.2178510340538,178,"{Most.CS.Students.Are.Male=No,
Has.Used.For.Development=No} ","{Would.Enroll.In.CS=Yes}"
"497",0.132231404958678,0.443418013856813,1.21709443500963,192,"{CS.Has.Low.Employability=Maybe,
Uses.Computer.At.Home=Yes} ","{Would.Enroll.In.CS=Maybe}"
"395",0.136363636363636,0.543956043956044,1.21698640342708,198,"{Uses.Computer.At.Library=No,
Has.Used.Image.Editor=No} ","{Would.Enroll.In.CS=Yes}"
"344",0.104683195592287,0.443148688046647,1.21635518911859,152,"{CS.Uses.Little.Math=Maybe,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=Maybe}"
"599",0.185261707988981,0.543434343434343,1.21581920903955,269,"{Educational.Stage=Middle School,
Uses.Computer.At.Work=No} ","{Would.Enroll.In.CS=Yes}"
"356",0.106749311294766,0.442857142857143,1.21555495544153,155,"{CS.Is.Prestigious=Maybe,
Has.Used.Database=No} ","{Would.Enroll.In.CS=Maybe}"
"55",0.194903581267218,0.543186180422265,1.21526399687693,283,"{Educational.Stage=Middle School} ","{Would.Enroll.In.CS=Yes}"
"606",0.194903581267218,0.543186180422265,1.21526399687693,283,"{Year=2011,
Educational.Stage=Middle School} ","{Would.Enroll.In.CS=Yes}"
"378",0.130853994490358,0.542857142857143,1.21452784503632,190,"{Most.CS.Students.Are.Male=No,
Has.Used.Social.Network=Yes} ","{Would.Enroll.In.CS=Yes}"
"394",0.104683195592287,0.542857142857143,1.21452784503632,152,"{CS.Enables.Interdisciplinary.Experiences=Yes,
Has.Used.Image.Editor=No} ","{Would.Enroll.In.CS=Yes}"
"745",0.140495867768595,0.441558441558442,1.21199027815285,204,"{CS.Provides.Good.Wages=Maybe,
Has.Used.Image.Editor=Yes} ","{Would.Enroll.In.CS=Maybe}"
"149",0.110192837465565,0.228571428571429,1.21126173096976,160,"{Uses.Computer.At.Work=No,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"626",0.103305785123967,0.441176470588235,1.21094184365618,150,"{Higher.Education.Required.To.Work.In.CS=Yes,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"699",0.146005509641873,0.440748440748441,1.2097669867046,212,"{Uses.Computer.At.School=Yes,
Has.Used.Image.Editor=Yes} ","{Would.Enroll.In.CS=Maybe}"
"499",0.135674931129477,0.440715883668904,1.20967762398346,197,"{CS.Has.Low.Employability=Maybe,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=Maybe}"
"336",0.110192837465565,0.540540540540541,1.2093449381585,160,"{Has.Used.Text.Editor=Yes,
Has.Used.For.Development=Yes} ","{Would.Enroll.In.CS=Yes}"
"398",0.119834710743802,0.540372670807453,1.20896936519634,174,"{CS.Fosters.Creativity=Yes,
Has.Used.Image.Editor=No} ","{Would.Enroll.In.CS=Yes}"
"343",0.101239669421488,0.440119760479042,1.20804138415041,147,"{CS.Uses.Little.Math=Maybe,
Has.Used.Social.Network=Yes} ","{Would.Enroll.In.CS=Maybe}"
"132",0.101928374655647,0.227692307692308,1.20660303200449,148,"{CS.Uses.Little.Math=No,
Has.Used.Text.Editor=Yes} ","{Would.Enroll.In.CS=No}"
"498",0.132231404958678,0.439359267734554,1.20595398251526,192,"{CS.Has.Low.Employability=Maybe,
Has.Used.Social.Network=Yes} ","{Would.Enroll.In.CS=Maybe}"
"34",0.108815426997245,0.438888888888889,1.20466288594833,158,"{CS.Uses.Little.Math=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"345",0.108815426997245,0.438888888888889,1.20466288594833,158,"{Year=2011,
CS.Uses.Little.Math=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"742",0.135674931129477,0.438752783964365,1.20428930494567,197,"{CS.Provides.Good.Wages=Maybe,
Uses.Computer.At.Relatives.House=Yes} ","{Would.Enroll.In.CS=Maybe}"
"494",0.12534435261708,0.43855421686747,1.20374427767782,182,"{CS.Has.Low.Employability=Maybe,
Has.Used.Email=Yes} ","{Would.Enroll.In.CS=Maybe}"
"33",0.117079889807163,0.537974683544304,1.20360437674319,170,"{Has.Used.For.Development=Yes} ","{Would.Enroll.In.CS=Yes}"
"341",0.117079889807163,0.537974683544304,1.20360437674319,170,"{Year=2011,
Has.Used.For.Development=Yes} ","{Would.Enroll.In.CS=Yes}"
"372",0.117079889807163,0.537974683544304,1.20360437674319,170,"{Most.CS.Students.Are.Male=No,
Has.Used.Text.Editor=Yes} ","{Would.Enroll.In.CS=Yes}"
"364",0.103994490358127,0.537366548042705,1.20224380240063,151,"{Most.CS.Students.Are.Male=No,
Has.Used.Games=Yes} ","{Would.Enroll.In.CS=Yes}"
"399",0.139118457300275,0.537234042553192,1.20194734944104,202,"{Uses.Computer.At.Work=No,
Has.Used.Image.Editor=No} ","{Would.Enroll.In.CS=Yes}"
"741",0.132231404958678,0.437357630979499,1.20045988692293,192,"{CS.Provides.Good.Wages=Maybe,
Uses.Computer.At.Friends.House=Yes} ","{Would.Enroll.In.CS=Maybe}"
"377",0.131542699724518,0.536516853932584,1.20034279184917,191,"{Most.CS.Students.Are.Male=No,
Uses.Computer.At.Home=Yes} ","{Would.Enroll.In.CS=Yes}"
"696",0.143939393939394,0.437238493723849,1.20013287880346,209,"{Uses.Computer.At.Relatives.House=Yes,
Uses.Computer.At.School=Yes} ","{Would.Enroll.In.CS=Maybe}"
"370",0.127410468319559,0.536231884057971,1.1997052321297,185,"{Most.CS.Students.Are.Male=No,
Has.Used.Database=No} ","{Would.Enroll.In.CS=Yes}"
"366",0.102617079889807,0.535971223021583,1.19912205828558,149,"{CS.Only.Teaches.To.Use.Software=No,
Most.CS.Students.Are.Male=No} ","{Would.Enroll.In.CS=Yes}"
"595",0.150137741046832,0.535626535626536,1.19835089326615,218,"{Educational.Stage=Middle School,
Has.Used.For.Development=No} ","{Would.Enroll.In.CS=Yes}"
"704",0.146694214876033,0.436475409836066,1.19803836499427,213,"{Uses.Computer.At.School=Yes,
Has.Used.Database=No} ","{Would.Enroll.In.CS=Maybe}"
"1463",0.18732782369146,0.534381139489195,1.19556458326396,272,"{Higher.Education.Required.To.Work.In.CS=Yes,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Yes}"
"489",0.110192837465565,0.434782608695652,1.19339196186406,160,"{CS.Has.Low.Employability=Maybe,
Has.Used.For.Development=No} ","{Would.Enroll.In.CS=Maybe}"
"365",0.106749311294766,0.532646048109966,1.19168268390704,155,"{Most.CS.Students.Are.Male=No,
Has.Used.Other.Softwares=No} ","{Would.Enroll.In.CS=Yes}"
"1433",0.153581267217631,0.532219570405728,1.19072853039926,223,"{Higher.Education.Required.To.Work.In.CS=Yes,
CS.Has.Low.Employability=No} ","{Would.Enroll.In.CS=Yes}"
"133",0.105371900826446,0.224669603524229,1.19058490626708,153,"{CS.Uses.Little.Math=No,
Has.Used.Email=Yes} ","{Would.Enroll.In.CS=No}"
"495",0.123278236914601,0.433414043583535,1.18963552227466,179,"{CS.Has.Low.Employability=Maybe,
Has.Used.For.Creating.Web.Pages=No} ","{Would.Enroll.In.CS=Maybe}"
"40",0.15771349862259,0.531322505800464,1.18872153840104,229,"{Has.Used.Image.Editor=No} ","{Would.Enroll.In.CS=Yes}"
