"","support","confidence","lift","count","lhs","rhs"
"1340",0.110843373493976,0.63013698630137,1.3691458079323,46,"{CS.Has.Low.Employability=No,
CS.Provides.Good.Wages=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"282",0.146987951807229,0.352601156069364,1.35490259045172,61,"{Uses.Computer.At.Relatives.House=No,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"739",0.137349397590361,0.375,1.34159482758621,57,"{Uses.Computer.At.Relatives.House=Yes,
Uses.Computer.At.School=No} ","{Would.Enroll.In.CS=Yes}"
"630",0.11566265060241,0.369230769230769,1.3209549071618,48,"{Uses.Computer.At.Friends.House=Yes,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=Yes}"
"165",0.120481927710843,0.602409638554217,1.30890052356021,50,"{Has.Used.For.Development=No,
CS.Requires.Knowledge.In.Computers=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"333",0.118072289156627,0.340277777777778,1.30754886831276,49,"{Educational.Stage=High School (10th Grade),
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"281",0.137349397590361,0.339285714285714,1.30373677248677,57,"{Uses.Computer.At.Relatives.House=No,
Uses.Computer.At.Friends.House=No} ","{Would.Enroll.In.CS=No}"
"336",0.137349397590361,0.339285714285714,1.30373677248677,57,"{Uses.Computer.At.Lan.House=No,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"661",0.134939759036145,0.363636363636364,1.30094043887147,56,"{Uses.Computer.At.Library=No,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"870",0.163855421686747,0.361702127659574,1.29402054292003,68,"{Uses.Computer.At.School=No,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"745",0.15421686746988,0.361581920903955,1.29359049288915,64,"{Uses.Computer.At.Relatives.House=Yes,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=Yes}"
"679",0.134939759036145,0.361290322580645,1.29254727474972,56,"{Uses.Computer.At.Library=No,
CS.Has.Low.Employability=No} ","{Would.Enroll.In.CS=Yes}"
"635",0.125301204819277,0.361111111111111,1.2919061302682,52,"{Uses.Computer.At.Friends.House=Yes,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=Yes}"
"229",0.101204819277108,0.336,1.29111111111111,42,"{Uses.Computer.At.Friends.House=No,
CS.Work.Has.Long.Hours=Maybe} ","{Would.Enroll.In.CS=No}"
"335",0.11566265060241,0.335664335664336,1.28982128982129,48,"{Uses.Computer.At.Friends.House=No,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"339",0.134939759036145,0.335329341317365,1.28853404302506,56,"{Has.Used.Other.Softwares=No,
CS.Uses.Little.Math=No} ","{Would.Enroll.In.CS=No}"
"655",0.108433734939759,0.36,1.28793103448276,45,"{Uses.Computer.At.School=No,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"740",0.144578313253012,0.359281437125749,1.28536031385505,60,"{Uses.Computer.At.Relatives.House=Yes,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"407",0.166265060240964,0.333333333333333,1.28086419753086,69,"{Uses.Computer.At.Friends.House=No,
Uses.Computer.At.Lan.House=No} ","{Would.Enroll.In.CS=No}"
"634",0.125301204819277,0.356164383561644,1.27420878601795,52,"{Uses.Computer.At.Friends.House=Yes,
Has.Used.Internet=Yes} ","{Would.Enroll.In.CS=Yes}"
"293",0.151807228915663,0.331578947368421,1.27412280701754,63,"{Uses.Computer.At.Relatives.House=No,
Has.Used.For.Creating.Web.Pages=No} ","{Would.Enroll.In.CS=No}"
"750",0.163855421686747,0.356020942408377,1.27369561292652,68,"{Uses.Computer.At.Relatives.House=Yes,
Has.Used.Internet=Yes} ","{Would.Enroll.In.CS=Yes}"
"751",0.16144578313253,0.354497354497354,1.26824484583105,67,"{Uses.Computer.At.Relatives.House=Yes,
Uses.Computer.At.Digital.Inclusion.Center=No} ","{Would.Enroll.In.CS=Yes}"
"1223",0.101204819277108,0.583333333333333,1.2674520069808,42,"{Family.Approves.CS.Major=Maybe,
CS.Is.Prestigious=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"1304",0.113253012048193,0.580246913580247,1.26074591170577,47,"{Family.Approves.CS.Major=Maybe,
CS.Has.Low.Employability=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"876",0.180722891566265,0.352112676056338,1.25971345313259,75,"{Uses.Computer.At.Library=No,
Higher.Education.Required.To.Work.In.CS=Yes} ","{Would.Enroll.In.CS=Yes}"
"621",0.106024096385542,0.352,1.25931034482759,44,"{Uses.Computer.At.Friends.House=Yes,
CS.Only.Teaches.To.Use.Software=No} ","{Would.Enroll.In.CS=Yes}"
"623",0.106024096385542,0.352,1.25931034482759,44,"{Uses.Computer.At.Friends.House=Yes,
Has.Used.Text.Editor=Yes} ","{Would.Enroll.In.CS=Yes}"
"426",0.178313253012048,0.327433628318584,1.25819403474271,74,"{Uses.Computer.At.Lan.House=No,
CS.Only.Teaches.To.Use.Software=No} ","{Would.Enroll.In.CS=No}"
"1407",0.159036144578313,0.578947368421053,1.2579222926426,66,"{Family.Approves.CS.Major=Maybe,
CS.Provides.Good.Wages=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"626",0.108433734939759,0.3515625,1.25774515086207,45,"{Uses.Computer.At.Friends.House=Yes,
CS.Fosters.Creativity=Yes} ","{Would.Enroll.In.CS=Yes}"
"1415",0.204819277108434,0.578231292517007,1.25636642091392,85,"{Has.Used.Games=Yes,
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"625",0.110843373493976,0.351145038167939,1.25625164516978,46,"{Uses.Computer.At.Friends.House=Yes,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"872",0.163855421686747,0.350515463917526,1.25399928901529,68,"{Higher.Education.Required.To.Work.In.CS=Yes,
CS.Fosters.Creativity=Yes} ","{Would.Enroll.In.CS=Yes}"
"292",0.142168674698795,0.325966850828729,1.25255780642521,59,"{Uses.Computer.At.Relatives.House=No,
Uses.Computer.At.Library=No} ","{Would.Enroll.In.CS=No}"
"284",0.137349397590361,0.325714285714286,1.2515873015873,57,"{Uses.Computer.At.Relatives.House=No,
Has.Used.Other.Softwares=No} ","{Would.Enroll.In.CS=No}"
"741",0.142168674698795,0.349112426035503,1.24897980004081,59,"{Uses.Computer.At.Relatives.House=Yes,
CS.Fosters.Creativity=Yes} ","{Would.Enroll.In.CS=Yes}"
"871",0.163855421686747,0.348717948717949,1.24756852343059,68,"{Higher.Education.Required.To.Work.In.CS=Yes,
CS.Enables.Interdisciplinary.Experiences=Yes} ","{Would.Enroll.In.CS=Yes}"
"654",0.11566265060241,0.347826086956522,1.24437781109445,48,"{Has.Used.Text.Editor=Yes,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"666",0.134939759036145,0.347826086956522,1.24437781109445,56,"{Has.Used.Internet=Yes,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"811",0.139759036144578,0.347305389221557,1.24251497005988,58,"{Uses.Computer.At.School=No,
CS.Is.Prestigious=Yes} ","{Would.Enroll.In.CS=Yes}"
"1410",0.15421686746988,0.571428571428571,1.2415856394914,64,"{Educational.Stage=High School (10th Grade),
Family.Approves.CS.Major=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"737",0.12289156626506,0.346938775510204,1.24120337790289,51,"{Uses.Computer.At.Relatives.House=Yes,
Has.Used.Other.Softwares=No} ","{Would.Enroll.In.CS=Yes}"
"54",0.127710843373494,0.34640522875817,1.23929456840207,53,"{Uses.Computer.At.Friends.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"636",0.127710843373494,0.34640522875817,1.23929456840207,53,"{Year=2019,
Uses.Computer.At.Friends.House=Yes} ","{Would.Enroll.In.CS=Yes}"
"1137",0.108433734939759,0.569620253164557,1.237656571012,45,"{Has.Used.Spreadsheet=No,
CS.Uses.Little.Math=Maybe} ","{Would.Enroll.In.CS=Maybe}"
"725",0.132530120481928,0.345911949685535,1.23752981999566,55,"{Uses.Computer.At.Library=No,
Has.Used.Image.Editor=Yes} ","{Would.Enroll.In.CS=Yes}"
"657",0.110843373493976,0.345864661654135,1.23736064298678,46,"{CS.Fosters.Creativity=Yes,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
"230",0.110843373493976,0.321678321678322,1.23607873607874,46,"{Uses.Computer.At.Lan.House=No,
CS.Work.Has.Long.Hours=Maybe} ","{Would.Enroll.In.CS=No}"
"663",0.11566265060241,0.345323741007194,1.23542545274126,48,"{Uses.Computer.At.Work=No,
CS.Provides.Good.Wages=Yes} ","{Would.Enroll.In.CS=Yes}"
